1,1,1,1,-83.96952497172913,-83.21885394353157,7.241349130079715,229.4630780062008
1,1,1,2,-82.62465961671295,-81.79820843200164,7.9723625165503895,229.46333150735094
1,1,1,3,-81.27979416639977,-80.37756281980491,8.703375954820583,229.46358500851906
1,1,1,4,-79.93492864299525,-78.95691713039832,9.434389432820229,229.463838509701
1,1,1,5,-78.59006306230324,-77.53627138047626,10.165402941958979,229.4640920108937
1,1,1,6,-77.24519743587776,-76.11562558224374,10.896416475956546,229.46434551209498
1,1,1,7,-75.90033177236158,-74.6949797448305,11.627430030115116,229.4645990133033
1,1,1,8,-74.55546607834867,-73.27433387520217,12.358443600850443,229.46485251451742
1,1,1,9,-73.21060035895746,-71.85368797876548,13.08945718538036,229.4651060157362
1,1,1,10,-71.86573461822171,-70.43304205978151,13.820470781512313,229.46535951695907
1,1,1,11,-70.52086885936318,-69.01239612165367,14.551484387495023,229.46561301818542
1,1,1,12,-69.17600308498648,-67.59175016713317,15.282498001912801,229.4658665194146
1,1,1,13,-67.83113729721977,-66.17110419846819,16.013511623608814,229.46612002064631
1,1,1,14,-66.48627149781923,-64.75045821751385,16.744525251628527,229.46637352188026
1,1,1,15,-65.14140568824664,-63.32981222581425,17.475538885177333,229.4666270231161
1,1,1,16,-63.79653986972883,-61.909166224665434,18.206552523588382,229.46688052435366
1,1,1,17,-62.45167404330296,-60.488520215162914,18.93756616629794,229.46713402559266
1,1,1,18,-61.10680820985177,-59.06787419823923,19.66857981282617,229.467387526833
1,1,1,19,-59.76194237013136,-57.64722817469307,20.399593462762088,229.46764102807455
1,1,1,20,-58.41707652479307,-56.22658214521251,21.130607115751648,229.46789452931716
1,1,1,21,-57.0722106744011,-54.80593611039346,21.861620771488187,229.4681480305607
1,1,1,22,-55.72734481944645,-53.38529007075465,22.59263442970481,229.4684015318051
1,1,1,23,-54.38247896035858,-51.96464402674972,23.323648090168078,229.46865503305028
1,1,1,24,-53.037613097514644,-50.54399797877707,24.054661752672992,229.46890853429616
1,1,1,25,-51.69274723124731,-49.12335192718814,24.78567541703872,229.4691620355427
1,1,1,26,-50.34788136185103,-47.70270587229395,25.516689083105216,229.4694155367898
1,1,1,27,-49.00301548958755,-46.28205981437097,26.247702750730223,229.4696690380375
1,1,1,28,-47.65814961469002,-44.861413753665566,26.978716419786963,229.46992253928562
1,1,1,29,-46.31328373736713,-43.440767690398125,27.709730090162033,229.47017604053423
1,1,1,30,-44.96841785780608,-42.02012162476637,28.440743761753687,229.47042954178332
1,1,1,31,-43.62355197617522,-40.59947555694821,29.171757434470393,229.47068304303272
1,1,1,32,-42.27868609262647,-39.178829487104075,29.90277110822959,229.4709365442825
1,1,1,33,-40.93382020729725,-37.75818341537915,30.63378478295658,229.47119004553264
1,1,1,34,-39.5889543203121,-36.337537341905,31.364798458583664,229.4714435467831
1,1,1,35,-38.2440884317843,-34.91689126680126,32.095812135049265,229.4716970480338
1,1,1,36,-36.89922254181693,-33.496245190176836,32.82682581229736,229.47195054928477
1,1,1,37,-35.554356650504175,-32.07559911213123,33.55783949027676,229.4722040505361
1,1,1,38,-34.20949075793212,-30.65495303275535,34.28885316894065,229.47245755178753
1,1,1,39,-32.86462486417969,-29.23430695213257,35.01986684824615,229.47271105303923
1,1,1,40,-31.519758969319312,-27.81366087033943,35.75088052815388,229.4729645542912
1,1,1,41,-30.174893073417653,-26.393014787446337,36.481894208627615,229.47321805554333
1,1,1,42,-28.830027176536117,-24.972368703518157,37.21290788963396,229.47347155679557
1,1,1,43,-27.485161278731347,-23.55172261861472,37.943921571142155,229.47372505804813
1,1,1,44,-26.14029538005573,-22.131076532791347,38.674935253123685,229.47397855930075
1,1,1,45,-24.795429480557782,-20.71043044609935,39.405948935552196,229.47423206055353
1,1,1,46,-23.450563580282488,-19.289784358586154,40.13696261840328,229.47448556180652
1,1,1,47,-22.105697679271508,-17.86913827029582,40.86797630165423,229.4747390630596
1,1,1,48,-20.76083177756367,-16.448492181269405,41.598989985283936,229.47499256431277
1,1,1,49,-19.41596587519514,-15.027846091545038,42.330003669272806,229.47524606556613
1,1,1,50,-18.07109997219953,-13.607200001158276,43.0610173536025,229.4754995668196
1,1,1,51,-16.72623406860828,-12.186553910142294,43.79203103825598,229.47575306807315
1,1,1,52,-15.381368164450786,-10.765907818528158,44.52304472321725,229.47600656932684
1,1,1,53,-14.036502259754439,-9.34526172634484,45.2540584084714,229.47626007058062
1,1,1,54,-12.691636354544979,-7.924615633619447,45.985072094004465,229.4765135718345
1,1,1,55,-11.346770448846495,-6.503969540377526,46.71608577980334,229.47676707308844
1,1,1,56,-10.001904542681645,-5.0833234466428925,47.447099465855736,229.47702057434256
1,1,1,57,-8.657038636071604,-3.662677352438039,48.17811315215009,229.47727407559665
1,1,1,58,-7.312172729036345,-2.2420312577839967,48.90912683867558,229.47752757685086
1,1,1,59,-5.9673068215947405,-0.8213851627007016,49.64014052542195,229.47778107810512
1,1,1,60,-4.622440913764383,0.5992609327932552,50.37115421237963,229.4780345793595
1,1,1,61,-3.277575005562057,2.0199070286801106,51.10216789953948,229.47828808061396
1,1,1,62,-1.9327090970034435,3.440553124943336,51.83318158689301,229.47854158186846
1,1,1,63,-0.5878431881034691,4.861199221567196,52.564195274432095,229.47879508312306
1,1,1,64,0.7570227211238745,6.281845318536824,53.29520896214911,229.47904858437764
1,1,1,65,2.101888630665251,7.702491415838228,54.02622265003684,229.47930208563238
1,1,1,66,3.4467545405080915,9.123137513458039,54.75723633808842,229.4795555868871
